"","chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL"
"25","2",174600033,174600033,-0.446530996745791,0.446530996745791,106990,154846,154846,1,1
"26","4",41696258,41696258,-0.391626715699416,0.391626715699416,118683,171414,171414,1,11
"10","3",90464389,90464389,0.362858242594233,0.362858242594233,112325,162423,162423,1,2
"7","19",37686572,37686572,0.336004673930015,0.336004673930015,90373,114017,114017,1,2
"13","4",87806417,87806417,0.332213048934577,0.332213048934577,121259,176201,176201,1,3
"23","2",84734548,84734548,-0.318461251617165,0.318461251617165,98859,143108,143108,1,2
"17","1",102177252,102177252,-0.306101001775688,0.306101001775688,5909,125793,125793,1,1
"2","10",100541634,100541634,0.300200386082433,0.300200386082433,19703,11562,11562,1,3
"19","14",67887116,67887116,-0.283727636331608,0.283727636331608,55661,63614,63614,1,1
"15","4",154574469,154574469,0.283299967777071,0.283299967777071,128446,186608,186608,1,1
"11","4",20347459,20347459,0.282554072679074,0.282554072679074,117702,170089,170089,1,1
"12","4",22490174,22490174,0.282125889573816,0.282125889573816,117782,170196,170196,1,3
"3","13",60941715,60941715,0.282084102094402,0.282084102094402,47336,51653,51653,1,2
"28","7",4964423,4964423,-0.279087837327555,0.279087837327555,151123,219141,219141,1,3
"6","19",10391533,10391533,0.272429189524836,0.272429189524836,88318,111160,111160,1,1
"1","10",94129055,94129055,0.271715415741884,0.271715415741884,19164,10801,10801,1,1
"5","15",36939022,36939022,0.267570375627281,0.267570375627281,60054,69435,69435,1,2
"21","19",9077580,9077580,-0.264436948874508,0.264436948874508,88199,110975,110975,1,1
"27","4",75278077,75278077,-0.264356397881015,0.264356397881015,120673,175452,175452,1,3
"16","1",86018200,86018200,-0.263945298931133,0.263945298931133,4570,123924,123924,1,5
"9","3",75748019,75748019,0.262464730724484,0.262464730724484,111040,160488,160488,1,3
"18","11",19024633,19024633,-0.260847965255055,0.260847965255055,23337,16718,16718,1,1
"8","2",80127557,80127557,0.258992992452308,0.258992992452308,98684,142821,142821,1,1
"4","14",11554251,11554251,0.258021297457838,0.258021297457838,51095,56966,56966,1,1
"14","4",129335719,129335719,0.257525836907681,0.257525836907681,124801,181286,181286,1,6
"24","2",116900186,116900186,-0.25682455206834,0.25682455206834,101464,146784,146784,1,3
"22","2",25428524,25428524,-0.254049033695583,0.254049033695583,94213,136417,136417,1,2
"29","7",128144825,128144825,-0.252633748594306,0.252633748594306,161199,234384,234384,1,1
"20","17",43629028,43629028,-0.251680458303169,0.251680458303169,77260,95055,95055,1,2
