"","chr","pos","strand","Name","Contrast","diff_meanMeth","P.Value","adj.P.Val","Islands_Name","Relation_to_Island","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","Phantom4_Enhancers","Phantom5_Enhancers","X450k_Enhancer","Regulatory_Feature_Name","Regulatory_Feature_Group","GencodeBasicV12_NAME","GencodeBasicV12_Accession","GencodeBasicV12_Group","GencodeCompV12_NAME","GencodeCompV12_Accession","GencodeCompV12_Group"
"cg18442362","chr7",44677772,"+","cg18442362","Control_E545K",NA,6.3781534169897e-10,0.000494638553794385,"","OpenSea","OGDH;OGDH;OGDH","NM_001003941;NM_001165036;NM_002541","Body;Body;Body","","chr7:44677628-44677628","TRUE","7:44677683-44678307","Promoter_Associated","","","","","",""
"cg10179196","chr5",134915088,"+","cg10179196","Control_E545K",NA,1.50657541669978e-09,0.000584189683579507,"chr5:134914178-134914981","S_Shore","CXCL14","NM_004887","TSS200","","","","","","CTC-321K16.1;CXCL14;CXCL14;CTC-321K16.1;CTC-321K16.1","ENST00000514446.1;ENST00000512158.1;ENST00000337225.5;ENST00000509372.1;ENST00000514446.1","1stExon;TSS1500;TSS200;5'UTR;5'UTR","CTC-321K16.1;CXCL14;CXCL14;CTC-321K16.1;CTC-321K16.1","ENST00000514446.1;ENST00000512158.1;ENST00000337225.5;ENST00000509372.1;ENST00000514446.1","1stExon;TSS1500;TSS200;5'UTR;5'UTR"
"cg26500080","chr17",6338554,"+","cg26500080","Control_E545K",NA,4.55155734567172e-09,0.0011676692102771,"","OpenSea","AIPL1;AIPL1;AIPL1","NM_001033055;NM_014336;NM_001033054","TSS200;TSS200;TSS200","","","","17:6338476-6339666","Unclassified","AIPL1;AIPL1;AIPL1;AIPL1;AIPL1;AIPL1;AIPL1;AIPL1","ENST00000570584.1;ENST00000444243.2;ENST00000571740.1;ENST00000575265.1;ENST00000574506.1;ENST00000576776.1;ENST00000381129.3;ENST00000250087.5","TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200","AIPL1;AIPL1;AIPL1;AIPL1;AIPL1;AIPL1;AIPL1;AIPL1;AIPL1;AIPL1","ENST00000570584.1;ENST00000574913.1;ENST00000444243.2;ENST00000571740.1;ENST00000575265.1;ENST00000381128.2;ENST00000574506.1;ENST00000570466.1;ENST00000381129.3;ENST00000250087.5","TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200"
"cg21790587","chr12",132699738,"-","cg21790587","Control_E545K",NA,6.0226387986234e-09,0.0011676692102771,"chr12:132696661-132697724","S_Shelf","GALNT9","NM_001122636","Body","","","","","","","","","","",""
"cg02331830","chr8",145008288,"+","cg02331830","Control_E545K",NA,7.58461198187478e-09,0.00117640365683671,"chr8:145008908-145009407","N_Shore","PLEC1;PLEC1;PLEC1;PLEC1;PLEC1;PLEC1;PLEC1;PLEC1","NM_201378;NM_201384;NM_201382;NM_201381;NM_000445;NM_201380;NM_201383;NM_201379","Body;Body;Body;Body;Body;Body;Body;Body","","","","8:145007733-145008887","Unclassified","","","","","",""
"cg12192884","chr5",1020109,"-","cg12192884","Control_E545K",NA,1.50550513804766e-08,0.00194591557443121,"","OpenSea","NKD2","NM_033120","Body","","","","","","","","","","",""
"cg19301526","chr15",34880715,"+","cg19301526","Control_E545K",NA,2.27032307708244e-08,0.00251525850391282,"","OpenSea","","","","","","","","","GOLGA8A","ENST00000543376.1","TSS200","GOLGA8A","ENST00000543376.1","TSS200"
"cg14688662","chr7",1688174,"+","cg14688662","Control_E545K",NA,5.10466469679676e-08,0.00494846195707478,"chr7:1686716-1687008","S_Shore","","","","","","","","","","","","","",""
"cg03294424","chr8",127866047,"+","cg03294424","Control_E545K",NA,5.85937464945093e-08,0.0050489580312691,"","OpenSea","","","","","","TRUE","","","PCAT1","ENST00000519319.1","5'UTR","PCAT1","ENST00000519319.1","5'UTR"
"cg10003689","chr12",5620850,"-","cg10003689","Control_E545K",NA,7.9124738355203e-08,0.0061362817089227,"","OpenSea","","","","","","TRUE","","","NTF3","ENST00000535299.1","5'UTR","NTF3;NTF3;NTF3;NTF3;NTF3","ENST00000544836.1;ENST00000544836.1;ENST00000541234.1;ENST00000541234.1;ENST00000535299.1","1stExon;5'UTR;1stExon;5'UTR;5'UTR"
"cg19464419","chr6",94064439,"-","cg19464419","Control_E545K",NA,9.0000461491629e-08,0.00634519617236256,"","OpenSea","EPHA7","NM_004440","Body","","","TRUE","","","","","","","",""
"cg07899060","chr7",101017354,"+","cg07899060","Control_E545K",NA,1.17070278387076e-07,0.00756586185789541,"","OpenSea","EMID2","NM_133457","Body","","","TRUE","","","","","","","",""
